epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.2656608645058409,0.8970405812511075,0.9136212624584718,0.877037562012757,0.8949557042126198,0.122590667199318,0.9770328988206083,0.9671931956257594,0.9875930521091811,0.9772866789441375
2,0.08684196236097584,0.9803296119085593,0.9835890117731002,0.976966690290574,0.9802666666666666,0.06610736312633143,0.9863438857852266,0.9803921568627451,0.9925558312655087,0.9864364981504316
3,0.051680991312232444,0.9902534113060428,0.9918236757909705,0.9886605244507441,0.9902395740905058,0.04286988401912097,0.9950341402855369,0.9938118811881188,0.9962779156327544,0.9950433705080545
4,0.03537096244480821,0.9937976253765727,0.9932743362831858,0.9943302622253721,0.9938020187710289,0.03319231415333872,0.9950341402855369,0.9913793103448276,0.9987593052109182,0.9950556242274413
5,0.026257488377277465,0.9952153110047847,0.9943402900601345,0.9961020552799433,0.9952203929899097,0.024597971584086917,0.9968963376784605,0.9950556242274413,0.9987593052109182,0.9969040247678018
6,0.019205263298717922,0.997519050150629,0.9968152866242038,0.9982282069454288,0.9975212464589235,0.017926146770586078,0.9975170701427685,0.9962871287128713,0.9987593052109182,0.9975216852540273
7,0.014958847241563485,0.998582314371788,0.998229461756374,0.9989369241672572,0.9985830676585193,0.014941095871030792,0.9981378026070763,0.9975216852540273,0.9987593052109182,0.9981401115933044
8,0.012734185906678165,0.9980506822612085,0.9982275788727402,0.9978738483345145,0.9980506822612085,0.013202492880850866,0.9981378026070763,0.9975216852540273,0.9987593052109182,0.9981401115933044
9,0.009969425243827254,0.9991139464823675,0.999291031549096,0.9989369241672572,0.9991139464823675,0.01047656662270855,0.9987585350713842,0.9987593052109182,0.9987593052109182,0.9987593052109182
10,0.009308399158853231,0.9987595250753145,0.9989365473236441,0.9985825655563431,0.9987595250753145,0.008836645287056424,0.9987585350713842,0.9987593052109182,0.9987593052109182,0.9987593052109182
11,0.007175688678608639,0.999291157185894,0.9992912827781715,0.9992912827781715,0.9992912827781715,0.008670581429154101,0.9981378026070763,0.9975216852540273,0.9987593052109182,0.9981401115933044
12,0.00605359580466312,0.999291157185894,0.9992912827781715,0.9992912827781715,0.9992912827781715,0.007150801879246448,0.9987585350713842,0.9987593052109182,0.9987593052109182,0.9987593052109182
13,0.004982302395309138,1.0,1.0,1.0,1.0,0.005994011315935206,0.9987585350713842,0.9987593052109182,0.9987593052109182,0.9987593052109182
14,0.004554020786392132,0.999291157185894,0.9992912827781715,0.9992912827781715,0.9992912827781715,0.006137567977221224,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
15,0.0038747788756672806,0.999645578592947,0.9996456413890857,0.9996456413890857,0.9996456413890857,0.00531354300702318,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
16,0.003862492452118922,0.9998227892964735,1.0,0.9996456413890857,0.9998227892964735,0.0044335970773229615,0.9993792675356921,1.0,0.9987593052109182,0.9993792675356921
17,0.0031547844309422752,1.0,1.0,1.0,1.0,0.0041572364572176205,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
18,0.0027189145830142708,1.0,1.0,1.0,1.0,0.003768815059818897,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
19,0.0023507247407376494,1.0,1.0,1.0,1.0,0.003526054258531851,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
20,0.002298437500881387,1.0,1.0,1.0,1.0,0.003196405032574234,1.0,1.0,1.0,1.0
