epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.04043541281645801,0.9838738259790891,0.9843916282369635,0.9833451452870304,0.9838681084914023,0.002072184375163529,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
2,0.01044201706033886,0.997873471557682,0.9978738483345145,0.9978738483345145,0.9978738483345145,0.003029831037049325,0.9987585350713842,0.9975247524752475,1.0,0.9987608426270136
3,0.0014347238481090137,0.999291157185894,0.9992912827781715,0.9992912827781715,0.9992912827781715,0.0024354890985929453,0.9993792675356921,1.0,0.9987593052109182,0.9993792675356921
4,0.004662140969789756,0.998227892964735,0.9982282069454288,0.9982282069454288,0.9982282069454288,0.0005588669364862132,1.0,1.0,1.0,1.0
5,0.003324196854325303,0.999291157185894,0.999645390070922,0.9989369241672572,0.999291031549096,0.005941267871569646,0.9981378026070763,0.9975216852540273,0.9987593052109182,0.9981401115933044
6,0.0015147061005216283,0.9994683678894205,0.9992915338292596,0.9996456413890857,0.9994685562444642,0.00017743115202719517,1.0,1.0,1.0,1.0
7,0.001330536942127629,0.999291157185894,0.999645390070922,0.9989369241672572,0.999291031549096,4.1695481758196906e-05,1.0,1.0,1.0,1.0
8,3.1711090157132985e-06,1.0,1.0,1.0,1.0,5.421865638116003e-05,1.0,1.0,1.0,1.0
9,1.2370274177789825e-06,1.0,1.0,1.0,1.0,2.6083301601557826e-05,1.0,1.0,1.0,1.0
10,1.0928227278304996e-06,1.0,1.0,1.0,1.0,2.6347660070436494e-05,1.0,1.0,1.0,1.0
11,6.390358575759967e-07,1.0,1.0,1.0,1.0,1.0558225487475596e-05,1.0,1.0,1.0,1.0
12,1.0152114319056934e-07,1.0,1.0,1.0,1.0,1.3032959967179546e-05,1.0,1.0,1.0,1.0
13,5.576864847238244e-08,1.0,1.0,1.0,1.0,2.059168679246655e-05,1.0,1.0,1.0,1.0
14,1.8882999865875928e-07,1.0,1.0,1.0,1.0,6.257314302462181e-06,1.0,1.0,1.0,1.0
15,0.009518555887792032,0.997873471557682,0.99822695035461,0.9975194897236003,0.9978730946472882,0.0026093694518950048,0.9987585350713842,0.9975247524752475,1.0,0.9987608426270136
16,4.4643733721724565e-05,1.0,1.0,1.0,1.0,6.730518057459688e-05,1.0,1.0,1.0,1.0
17,2.7473709747079775e-05,1.0,1.0,1.0,1.0,3.310889736344259e-05,1.0,1.0,1.0,1.0
18,1.9403887634015007e-05,1.0,1.0,1.0,1.0,0.0015538336367321656,0.9993792675356921,0.9987608426270136,1.0,0.9993800371977681
19,7.731631069523415e-07,1.0,1.0,1.0,1.0,0.0001695834977763859,1.0,1.0,1.0,1.0
20,3.308954702447066e-07,1.0,1.0,1.0,1.0,4.0682810377155545e-05,1.0,1.0,1.0,1.0
