epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_ap,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_ap,val_auc
1,0.05316738660733385,0.9798,0.9808978668175313,0.9788131371832763,0.979854393138526,0.9982478559811045,0.9981874865066835,0.02079443001653571,0.99265,0.9927276349870492,0.9926287478832553,0.9926781889724561,0.9997033162630746,0.9997022954719142
2,0.017020368340242713,0.9941666666666668,0.994714271467039,0.9936572244545545,0.9941854669900655,0.9997798629346131,0.999785161396362,0.020300257250721317,0.9937,0.9896275807566927,0.997908158183086,0.9937506199781768,0.9997921374226749,0.9997870767614374
3,0.011057358761241663,0.9962333333333334,0.9965112801940392,0.9959818018795868,0.9962464706859325,0.9999083341488363,0.9999039130811845,0.04094245350106779,0.9882000000000001,0.9775893988112637,0.9994023309094532,0.9883755295044823,0.999530838638032,0.9996836251879392
4,0.008453742844708635,0.9970333333333333,0.9971435214401966,0.9969448410985289,0.9970441713716374,0.9999392917381708,0.9999233083563603,0.024655899744610976,0.9925,0.987960130267443,0.997210877577448,0.9925639500297442,0.9996989972769956,0.9997161606828039
5,0.006978914832895303,0.99765,0.9977084025240783,0.9976090060771096,0.9976587018248841,0.9999189862398846,0.9999462953491616,0.020909628084917996,0.9941000000000001,0.9902164245478803,0.9981073812132683,0.9941462446671296,0.9997753343602103,0.9997439661057247
6,0.006651994530894485,0.9983333333333334,0.9983726877220949,0.9983063793046193,0.9983395324123273,0.9999100281728779,0.9999218172240936,0.037134780546013685,0.9924000000000001,0.988343376469426,0.996613208486901,0.9924610653704989,0.9985018371226002,0.9991380818902256
7,0.004701005747488182,0.9985166666666667,0.9985719030222517,0.9984724205492644,0.9985221593079057,0.9999815138134628,0.9999811247322018,0.019819790724229038,0.9940500000000001,0.9943193143312736,0.993824086064349,0.9940716385194042,0.9997971231384911,0.9998003669635814
8,0.00450833801677065,0.99855,0.9986713611904604,0.9984392123003354,0.9985552732526279,0.9999736687875486,0.9999569138331474,0.01758753398824629,0.9956,0.9946316731285416,0.996613208486901,0.9956214548711314,0.9997403853634671,0.999810377115836
9,0.01051946281937596,0.9991000000000001,0.9991365281790707,0.999070169029987,0.9991033475026567,0.9999399731079427,0.9999435847551487,0.012344947978846265,0.99655,0.9953298887122417,0.9978085466679948,0.996567676466199,0.9998215990322952,0.9998824182115811
10,0.0036412123755721333,0.9989,0.998937265451164,0.9988709195364128,0.998904091392136,0.999973376384291,0.9999645794974619,0.014177821046863192,0.9965,0.9951326115029304,0.997908158183086,0.9965184522033224,0.9997915677112177,0.9998529327631073
11,0.0031590836461647693,0.9989333333333333,0.9988710694956336,0.999003752532129,0.9989374066080027,0.9999904693177953,0.9999902281946931,0.017919346931753684,0.9964000000000001,0.9973056581179524,0.9955174818208985,0.9964107676969093,0.9997606234753986,0.9998274323752464
12,0.0029338924963018373,0.9992166666666668,0.9992030284917314,0.9992362102746322,0.9992196191077092,0.9999578252957734,0.9999768018930926,0.024153709016803502,0.9942000000000001,0.9898311778062987,0.9987050503038151,0.9942483141610472,0.999602970176758,0.9997626463898517
13,0.002067935676338497,0.9993166666666667,0.999302649930265,0.9993358350214193,0.9993192422003421,0.9999960271559891,0.9999959466091581,0.056694523703443724,0.9933500000000001,0.9880764682696098,0.9988046618189063,0.9934116015257344,0.9981200518469824,0.9990138100000501
14,0.0020410842902386104,0.9993666666666667,0.9994353847686738,0.9993026267724903,0.9993690013616287,0.9999615938126628,0.9999797374902977,0.02668170690185201,0.9949,0.9935432601569485,0.9963143739416277,0.9949268874962698,0.9995532038288666,0.9997160056804464
15,0.0019647537176034104,0.9994666666666667,0.9995350227506725,0.9994022515192774,0.9994686327255821,0.9999845682642013,0.9999740607430907,0.03679881662591587,0.9958,0.9941427578675668,0.9975097121227214,0.9958233890214797,0.9993045537495977,0.999618514197601
